region_id,region,country,provstate,city
15,Middle East & North Africa,Lebanon,South (Governorate),UNIFIL Security Zone
500,Middle East & North Africa,Lebanon,South (Governorate),Unknown
318,Middle East & North Africa,Lebanon,UNIFIL Security Zone,Beit Yahoun
340,Middle East & North Africa,Lebanon,UNIFIL Security Zone,Shoumariya
242,Middle East & North Africa,Lebanon,UNIFIL Security Zone,Unknown
271,Middle East & North Africa,Lebanon,Unknown,Dib'l Village
446,Middle East & North Africa,Tunisia,Tunis (Governorate),Tunis
454,Middle East & North Africa,Turkey,Agri (Province),Dogubeyazit
26,Middle East & North Africa,Turkey,Ankara (Province),Ankara
354,Middle East & North Africa,Turkey,Antalya (Province),Antalya
396,Middle East & North Africa,Turkey,Aydin (Province),Kusadasi
300,Middle East & North Africa,Turkey,Batman (Province),Dortboluk
461,Middle East & North Africa,Turkey,Batman (Province),Kozluk
358,Middle East & North Africa,Turkey,Bingol (Province),Genc
62,Middle East & North Africa,Turkey,Diyarbakir (Province),Diyarbakir
436,Middle East & North Africa,Turkey,Diyarbakir (Province),Eskin village
453,Middle East & North Africa,Turkey,Diyarbakir (Province),Ulucami
367,Middle East & North Africa,Turkey,Erzincan (Province),Basbaglar
597,Middle East & North Africa,Turkey,Igdir (Province),Aralik District
584,Middle East & North Africa,Turkey,Igdir (Province),Asagi Alican
388,Middle East & North Africa,Turkey,Istanbul (Province),Istanbul
365,Middle East & North Africa,Turkey,Sivas (Province),Sivas
374,Middle East & North Africa,Turkey,Unknown,Mutki District
152,Middle East & North Africa,Turkey,Unknown,Unknown
602,Middle East & North Africa,West Bank and Gaza Strip,Gaza Strip (Occupied Territory),Gaza
210,Middle East & North Africa,West Bank and Gaza Strip,Gaza Strip (Occupied Territory),Gaza City
606,Middle East & North Africa,West Bank and Gaza Strip,Gaza Strip (Occupied Territory),Gaza Strip
166,Middle East & North Africa,West Bank and Gaza Strip,Gaza Strip (Occupied Territory),Jabaliya
530,Middle East & North Africa,West Bank and Gaza Strip,Gaza Strip (Occupied Territory),Jabalya
76,Middle East & North Africa,West Bank and Gaza Strip,Gaza Strip (Occupied Territory),Unknown
232,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem (District),Jerusalem
53,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Beit Sahur
739,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Beitunia
412,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Deir Ballut
506,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Halhoul
37,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Hebron
572,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Jericho
627,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Kalkilya
457,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Ma'aleh Adumim
207,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Mehola
253,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Nablus
598,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Nabulus
408,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Ramallah
165,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),Unknown
715,Middle East & North Africa,West Bank and Gaza Strip,West Bank (Occupied Territory),West Bank
276,Middle East & North Africa,Yemen,Ma'rib (Governorate),Ma'rib
68,Middle East & North Africa,Yemen,Sana'a (Governorate),Sana'a
82,Middle East & North Africa,Yemen,Sana'a (Province),Dhinm
125,Middle East & North Africa,Yemen,Sanna (Governorate),Sanaa
535,North America,United States,California,Bakersfield
497,North America,United States,California,Newport Beach
383,North America,United States,California,Sacramento
343,North America,United States,California,Tiburon
657,North America,United States,California,Ventura
52,North America,United States,California,Westminster
345,North America,United States,Connecticut,New Haven
610,North America,United States,Florida,Miami
123,North America,United States,Florida,Pensacola
87,North America,United States,Florida,Venice
281,North America,United States,Idaho,Boise
51,North America,United States,Illinois,Chicago
540,North America,United States,Illinois,Peoria
456,North America,United States,Kansas,Wichita
282,North America,United States,Missouri,Kansas City
179,North America,United States,Montana,Missoula
630,North America,United States,Nevada,Reno
101,North America,United States,New York,New York City
255,North America,United States,Oregon,Forest Grove
378,North America,United States,Pennsylvania,Lancaster
665,North America,United States,Pennsylvania,York
96,North America,United States,Texas,Corpus Christi
575,North America,United States,Texas,Houston
70,North America,United States,Virginia,Langley
386,North America,United States,Washington,Seattle
385,North America,United States,Washington,Tacoma
245,South America,Argentina,Buenos Aires (Province),Buenos Aires
39,South America,Bolivia,Chuquisaca (Department),Sucre
265,South America,Bolivia,Unknown,Unknown
666,South America,Chile,Los Lagos (Region),Osorno
243,South America,Chile,Santiago Metropolitan Region (Region),Santiago
24,South America,Colombia,Antioquia (Department),Medellin
406,South America,Colombia,Antioquia (Department),Remedios
57,South America,Colombia,Bogota (Capital District),Bogota
285,South America,Colombia,Bolivar (Department),San Jacinto
49,South America,Colombia,Casanares (Department),Unknown
98,South America,Colombia,Choco (Department),Choco
481,South America,Colombia,Tolima (Department),Tolima
326,South America,Ecuador,Pichincha (Province),Quito
690,South America,Paraguay,Asuncion (Capital City),Asuncion
227,South America,Peru,Ancash (Region),Huaraz
258,South America,Peru,Arequipa (Province),Arequipa
183,South America,Peru,Ayacucho (Province),Ayacucho
591,South America,Peru,Cajamarca (Region),Accha District
588,South America,Peru,Cajamarca (Region),Pampash
589,South America,Peru,Cajamarca (Region),Puno
587,South America,Peru,Chachapoyas (Province),Chuquibamba
42,South America,Peru,Lima (Province),Lima
25,South America,Peru,San Martin (Region),Moyobamba
189,South America,Peru,Sanchez Carrion (Province),Quisquenda
448,South America,Peru,Unknown,Unknown
69,South America,Venezuela,Caracas (Capital District),Caracas
43,South Asia,Afghanistan,Kabul (Province),Kabul
219,South Asia,Afghanistan,Kandahar (Province),Spin Boldak
658,South Asia,Afghanistan,Kapisa (Province),Tagab
717,South Asia,India,Andhra Pradesh (State),Hyderabad
78,South Asia,India,Andhra Pradesh (State),Warangal
61,South Asia,India,Bihar (State),Patna
718,South Asia,India,Gujarat (State),Surat City
175,South Asia,India,Haryana (State),New Delhi
299,South Asia,India,Jammu and Kashmir (State),Budhan Rafiabad
445,South Asia,India,Jammu and Kashmir (State),Kishtwar
71,South Asia,India,Jammu and Kashmir (State),Srinagar
131,South Asia,India,Maharashtra (State),Mumbai
470,South Asia,India,Manipur (State),Imphal
177,South Asia,India,National Capital Territory of Delhi (Union Territory),New Delhi
419,South Asia,India,Tamil Nadu (State),Madras
180,South Asia,India,Uttar Pradesh (State),Gola Gokarnnath
325,South Asia,India,Uttar Pradesh (State),Tikamgrah
158,South Asia,India,West Bengal (State),Calcutta
489,South Asia,Pakistan,Balochistan (Province),Quetta
547,South Asia,Pakistan,Khanewal (District),Mian Channu
402,South Asia,Pakistan,Punjab (Province),Lahore
58,South Asia,Pakistan,Sindh (Province),Hyderabad
151,South Asia,Pakistan,Sindh (Province),Karachi
664,South Asia,Sri Lanka,North (Province),Kilinochchi District
387,South Asia,Sri Lanka,North (Province),Unknown
10,South Asia,Sri Lanka,North (Province),Vavuniya
239,South Asia,Sri Lanka,Western (Province),Colombo
220,South Asia,Sri Lanka,Western (Province),Kirrilapone
250,Southeast Asia,Cambodia,Banteay Meanchey (Province),Ampil
203,Southeast Asia,Cambodia,Banteay Meanchey (Province),Sisophon
238,Southeast Asia,Cambodia,Banteay Meanchey (Province),Thmar Puok
291,Southeast Asia,Cambodia,Kampong Cham (Province),Mimot District
269,Southeast Asia,Cambodia,Kampong Cham (Province),Skun
252,Southeast Asia,Cambodia,Kampong Speu (Province),Tpong District
273,Southeast Asia,Cambodia,Kampot (Province),Unknown
248,Southeast Asia,Cambodia,Kompong Cham (Province),Unknown
423,Southeast Asia,Cambodia,Kompong Chhnang (Province),Tonle Sap
213,Southeast Asia,Cambodia,Kompong Speu (Province),New Oral
184,Southeast Asia,Cambodia,Kompong Speu (Province),Phum Prek
195,Southeast Asia,Cambodia,Kompong Thom (Province),Kompong Thom
182,Southeast Asia,Cambodia,Kompong Thom (Province),Unknown
237,Southeast Asia,Cambodia,Kratie (Province),Unknown
178,Southeast Asia,Cambodia,Phnom Penh (Province),Phnom Penh
308,Southeast Asia,Cambodia,Preah Vihear (Province),Phnum Tbeng Meanchey
186,Southeast Asia,Cambodia,Siem Reap (Province),Bang Kaong
187,Southeast Asia,Cambodia,Siem Reap (Province),Kralanh District
126,Southeast Asia,Cambodia,Siem Reap (Province),Moat Peam
91,Southeast Asia,Cambodia,Siem Reap (Province),Siem Reap
